Points,GEO12_ID,min_tower_distance,min_hospital_distance,min_food_distance,min_parking_distance,min_tower_distance_scaled,min_hospital_distance_scaled,min_food_distance_scaled,min_parking_distance_scaled,TotPop,NatWalkInd,TotPop_scaled,NatWalkInd_scaled,score
"(-95.71331770417721, 31.077145680314356)",483130000000.0,0.007319063,0.239304184,0.200288388,0.751584034,0.082750877,0.356258879,0.567086747,0.665967443,3525,1.333333333,0.3775706940874036,0.0,0.5477039387108528
"(-95.72279179348817, 30.97746530159586)",483130000000.0,0.02455034,0.191552772,0.158268189,0.687001835,0.278137682,0.285136236,0.448067596,0.608708624,3525,1.333333333,0.3775706940874036,0.0,0.5079264563630266
"(-95.72994236341698, 31.30885081238583)",482900000000.0,0.024852464,0.408742459,0.26005164,0.901196487,0.281563492,0.608626238,0.736361805,0.798614402,2435,7.666666667,0.26081833761782347,0.775510204131612,0.4274944504175176
"(-95.7379614191711, 31.41653560652253)",482900000000.0,0.066326745,0.504713275,0.293309941,0.981569267,0.751843631,0.751568565,0.830563516,0.869873209,2435,7.666666667,0.26081833761782347,0.775510204131612,0.22882246754795244
"(-95.73808571214765, 31.06098942266657)",483130000000.0,0.015012649,0.209739227,0.170716971,0.722111691,0.169989059,0.312223786,0.483327863,0.639837153,3525,1.333333333,0.3775706940874036,0.0,0.5320052796238963
"(-95.73816567594027, 31.591309371444403)",482900000000.0,0.018267853,0.671508989,0.353130185,1.128339223,0.206900071,1.0,1.0,1.0,2435,7.666666667,0.26081833761782347,0.775510204131612,0.3549383907218655
"(-95.73913798133842, 30.91824883273384)",483130000000.0,0.020054468,0.17367517,0.149808703,0.643403184,0.227158643,0.258508704,0.424106719,0.570053897,3525,1.333333333,0.3775706940874036,0.0,0.5413029144934614
"(-95.74174832893098, 31.008421082813)",483130000000.0,0.007384814,0.181762442,0.144964458,0.688043879,0.08349643,0.270554172,0.410385749,0.609632504,3525,1.333333333,0.3775706940874036,0.0,0.5775787557978094
"(-95.7510338212273, 31.357228450914217)",482900000000.0,0.02297441,0.444594021,0.254002918,0.925997137,0.260268089,0.662024821,0.719229239,0.820602751,2435,7.666666667,0.26081833761782347,0.775510204131612,0.42567664237403935
"(-95.75739258698817, 31.51288316429007)",482900000000.0,0.077027351,0.590778838,0.314056636,1.051186797,0.873178638,0.879757658,0.889327018,0.931596372,2435,7.666666667,0.26081833761782347,0.775510204131612,0.1570216868957785
"(-95.7588687008926, 31.035183683477197)",483130000000.0,0.007915364,0.178265047,0.139542584,0.68990092,0.089512386,0.265345029,0.395028685,0.611278964,3525,1.333333333,0.3775706940874036,0.0,0.5758077505369397
"(-95.76175918826306, 31.00601741284859)",483130000000.0,0.009994442,0.162321323,0.1251422,0.670279526,0.113087208,0.241597883,0.354240648,0.593882562,3525,1.333333333,0.3775706940874036,0.0,0.5764646124065048
